Code_Postal;Province
1802;Brabant flamand
1803;Brabant flamand
1804;Brabant flamand
1805;Brabant flamand
1806;Brabant flamand
1807;Brabant flamand
1808;Brabant flamand
1809;Brabant flamand
1810;Brabant flamand
1811;Brabant flamand
1812;Brabant flamand
1813;Brabant flamand
1814;Brabant flamand
1815;Brabant flamand
1816;Brabant flamand
1817;Brabant flamand
1818;Brabant flamand
1819;Brabant flamand
1820;Brabant flamand
1821;Brabant flamand
1822;Brabant flamand
1823;Brabant flamand
1824;Brabant flamand
1825;Brabant flamand
1826;Brabant flamand
1827;Brabant flamand
1828;Brabant flamand
1829;Brabant flamand
1830;Brabant flamand
1831;Brabant flamand
1832;Brabant flamand
1833;Brabant flamand
1834;Brabant flamand
1835;Brabant flamand
1836;Brabant flamand
1837;Brabant flamand
1838;Brabant flamand
1839;Brabant flamand
1840;Brabant flamand
1841;Brabant flamand
1842;Brabant flamand
1843;Brabant flamand
1844;Brabant flamand
1845;Brabant flamand
1846;Brabant flamand
1847;Brabant flamand
1848;Brabant flamand
1849;Brabant flamand
1850;Brabant flamand
1851;Brabant flamand
1852;Brabant flamand
1853;Brabant flamand
1854;Brabant flamand
1855;Brabant flamand
1856;Brabant flamand
1857;Brabant flamand
1858;Brabant flamand
1859;Brabant flamand
1860;Brabant flamand
1861;Brabant flamand
1862;Brabant flamand
1863;Brabant flamand
1864;Brabant flamand
1865;Brabant flamand
1866;Brabant flamand
1867;Brabant flamand
1868;Brabant flamand
1869;Brabant flamand
1870;Brabant flamand
1871;Brabant flamand
1872;Brabant flamand
1873;Brabant flamand
1874;Brabant flamand
1875;Brabant flamand
1876;Brabant flamand
1877;Brabant flamand
1878;Brabant flamand
1879;Brabant flamand
1880;Brabant flamand
1881;Brabant flamand
1882;Brabant flamand
1883;Brabant flamand
1884;Brabant flamand
1885;Brabant flamand
1886;Brabant flamand
1887;Brabant flamand
1888;Brabant flamand
1889;Brabant flamand
1890;Brabant flamand
1891;Brabant flamand
1892;Brabant flamand
1893;Brabant flamand
1894;Brabant flamand
1895;Brabant flamand
1896;Brabant flamand
1897;Brabant flamand
1898;Brabant flamand
1899;Brabant flamand
1900;Brabant flamand
1901;Brabant flamand
1902;Brabant flamand
1903;Brabant flamand
1904;Brabant flamand
1905;Brabant flamand
1906;Brabant flamand
1907;Brabant flamand
1908;Brabant flamand
1909;Brabant flamand
1910;Brabant flamand
1911;Brabant flamand
1912;Brabant flamand
1913;Brabant flamand
1914;Brabant flamand
1915;Brabant flamand
1916;Brabant flamand
1917;Brabant flamand
1918;Brabant flamand
1919;Brabant flamand
1920;Brabant flamand
1921;Brabant flamand
1922;Brabant flamand
1923;Brabant flamand
1924;Brabant flamand
1925;Brabant flamand
1926;Brabant flamand
1927;Brabant flamand
1928;Brabant flamand
1929;Brabant flamand
1930;Brabant flamand
1931;Brabant flamand
1932;Brabant flamand
1933;Brabant flamand
1934;Brabant flamand
1935;Brabant flamand
1936;Brabant flamand
1937;Brabant flamand
1938;Brabant flamand
1939;Brabant flamand
1940;Brabant flamand
1941;Brabant flamand
1942;Brabant flamand
1943;Brabant flamand
1944;Brabant flamand
1945;Brabant flamand
1946;Brabant flamand
1947;Brabant flamand
1948;Brabant flamand
1949;Brabant flamand
1950;Brabant flamand
1951;Brabant flamand
1952;Brabant flamand
1953;Brabant flamand
1954;Brabant flamand
1955;Brabant flamand
1956;Brabant flamand
1957;Brabant flamand
1958;Brabant flamand
1959;Brabant flamand
1960;Brabant flamand
1961;Brabant flamand
1962;Brabant flamand
1963;Brabant flamand
1964;Brabant flamand
1965;Brabant flamand
1966;Brabant flamand
